Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95
2019.923,317.009430596747,170.016731992298,464.002129201197,92.2034976941232,541.815363499372
2019.942,282.78736592184,60.3496163640807,505.225115479598,-57.4018154241957,622.976547267875
2019.962,269.35614725176,-20.5511640325514,559.263458536071,-174.018824344198,712.731118847717
2019.981,321.588240857431,-14.9084846993794,658.08496641424,-193.039091150657,836.215572865518
2020.000,286.200800227342,-81.7186717310788,654.120272185762,-276.483475331293,848.885075785977
2020.019,271.781452595907,-115.200088143701,658.762993335514,-320.055741414414,863.618646606228
2020.038,387.50353499488,-10.2760043523484,785.283074342108,-220.847772801457,995.854842791216
2020.058,465.457260604409,62.0742064390818,868.840314769736,-151.463883572755,1082.37840478157
2020.077,418.695139634499,12.6128913242716,824.777387944726,-202.354065756525,1039.74434502552
2020.096,459.608620327689,52.3051889997722,866.912051655606,-163.308223321173,1082.52546397655
2020.115,489.943383728842,82.0948528782359,897.791914579447,-133.807117699531,1113.69388515721
2020.135,522.354333982533,114.24089449322,930.467773471847,-101.801310246971,1146.50997821204
